PC Time,UE Time,Timestamp,Longitude,Latitude,NR PCI,NR TA,NR PRACH TA,SS-RSRP,SS-SINR,SS-RSSI,SS-RSRQ,1st NR PCI,2nd NR PCI,3rd NR PCI,4th NR PCI,5th NR PCI,6th NR PCI,SS-RSRP SCell1,SS-RSRP SCell2,SS-RSRP SCell3,SS-RSRP SCell4,1st SS-RSRP,2nd SS-RSRP,3rd SS-RSRP,4th SS-RSRP,5th SS-RSRP,6th SS-RSRP,1st SS-SINR,2nd SS-SINR,3rd SS-SINR,4th SS-SINR,5th SS-SINR,6th SS-SINR,Network Type,PCell1 -Beam Cell Type,PCell1 -Beam NARFCN,PCell1 -Beam PCI,PCell1 -Beam SSB-Index,PCell1 -Beam Serving Beam,PCell1 -Beam SS-RSRP,PCell1 -Beam SS-RSRQ,PCell1 -Beam SS-SINR,PCell2 -Beam Cell Type,PCell2 -Beam NARFCN,PCell2 -Beam PCI,PCell2 -Beam SSB-Index,PCell2 -Beam Serving Beam,PCell2 -Beam SS-RSRP,PCell2 -Beam SS-RSRQ,PCell2 -Beam SS-SINR,PCell3 -Beam Cell Type,PCell3 -Beam NARFCN,PCell3 -Beam PCI,PCell3 -Beam SSB-Index,PCell3 -Beam Serving Beam,PCell3 -Beam SS-RSRP,PCell3 -Beam SS-RSRQ,PCell3 -Beam SS-SINR,PCell4 -Beam Cell Type,PCell4 -Beam NARFCN,PCell4 -Beam PCI,PCell4 -Beam SSB-Index,PCell4 -Beam Serving Beam,PCell4 -Beam SS-RSRP,PCell4 -Beam SS-RSRQ,PCell4 -Beam SS-SINR,PCell5 -Beam Cell Type,PCell5 -Beam NARFCN,PCell5 -Beam PCI,PCell5 -Beam SSB-Index,PCell5 -Beam Serving Beam,PCell5 -Beam SS-RSRP,PCell5 -Beam SS-RSRQ,PCell5 -Beam SS-SINR,PCell6 -Beam Cell Type,PCell6 -Beam NARFCN,PCell6 -Beam PCI,PCell6 -Beam SSB-Index,PCell6 -Beam Serving Beam,PCell6 -Beam SS-RSRP,PCell6 -Beam SS-RSRQ,PCell6 -Beam SS-SINR,PCell7 -Beam Cell Type,PCell7 -Beam NARFCN,PCell7 -Beam PCI,PCell7 -Beam SSB-Index,PCell7 -Beam Serving Beam,PCell7 -Beam SS-RSRP,PCell7 -Beam SS-RSRQ,PCell7 -Beam SS-SINR,NCell1 -Beam Cell Type,NCell1 -Beam NARFCN,NCell1 -Beam PCI,NCell1 -Beam SSB-Index,NCell1 -Beam Serving Beam,NCell1 -Beam SS-RSRP,NCell1 -Beam SS-RSRQ,NCell1 -Beam SS-SINR,NCell2 -Beam Cell Type,NCell2 -Beam NARFCN,NCell2 -Beam PCI,NCell2 -Beam SSB-Index,NCell2 -Beam Serving Beam,NCell2 -Beam SS-RSRP,NCell2 -Beam SS-RSRQ,NCell2 -Beam SS-SINR,NCell3 -Beam Cell Type,NCell3 -Beam NARFCN,NCell3 -Beam PCI,NCell3 -Beam SSB-Index,NCell3 -Beam Serving Beam,NCell3 -Beam SS-RSRP,NCell3 -Beam SS-RSRQ,NCell3 -Beam SS-SINR,NCell4 -Beam Cell Type,NCell4 -Beam NARFCN,NCell4 -Beam PCI,NCell4 -Beam SSB-Index,NCell4 -Beam Serving Beam,NCell4 -Beam SS-RSRP,NCell4 -Beam SS-RSRQ,NCell4 -Beam SS-SINR,NCell5 -Beam Cell Type,NCell5 -Beam NARFCN,NCell5 -Beam PCI,NCell5 -Beam SSB-Index,NCell5 -Beam Serving Beam,NCell5 -Beam SS-RSRP,NCell5 -Beam SS-RSRQ,NCell5 -Beam SS-SINR,NCell6 -Beam Cell Type,NCell6 -Beam NARFCN,NCell6 -Beam PCI,NCell6 -Beam SSB-Index,NCell6 -Beam Serving Beam,NCell6 -Beam SS-RSRP,NCell6 -Beam SS-RSRQ,NCell6 -Beam SS-SINR,NCell7 -Beam Cell Type,NCell7 -Beam NARFCN,NCell7 -Beam PCI,NCell7 -Beam SSB-Index,NCell7 -Beam Serving Beam,NCell7 -Beam SS-RSRP,NCell7 -Beam SS-RSRQ,NCell7 -Beam SS-SINR,NCell8 -Beam Cell Type,NCell8 -Beam NARFCN,NCell8 -Beam PCI,NCell8 -Beam SSB-Index,NCell8 -Beam Serving Beam,NCell8 -Beam SS-RSRP,NCell8 -Beam SS-RSRQ,NCell8 -Beam SS-SINR,NCell9 -Beam Cell Type,NCell9 -Beam NARFCN,NCell9 -Beam PCI,NCell9 -Beam SSB-Index,NCell9 -Beam Serving Beam,NCell9 -Beam SS-RSRP,NCell9 -Beam SS-RSRQ,NCell9 -Beam SS-SINR,NCell10 -Beam Cell Type,NCell10 -Beam NARFCN,NCell10 -Beam PCI,NCell10 -Beam SSB-Index,NCell10 -Beam Serving Beam,NCell10 -Beam SS-RSRP,NCell10 -Beam SS-RSRQ,NCell10 -Beam SS-SINR
26:25.3,26:24.9,0,,,991,32,8,-73.75,16.38,-43.31,-11,,,,,,,,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.3,26:24.9,0,,,991,,,-65.56,6.88,-40.88,-11.69,991,,,,,,,,,,-65.56,,,,,,6.88,,,,,,NR,PCell,627264,991,6,TRUE,-65.56,-11.69,6.88,PCell,627264,991,2,FALSE,-76.19,-11.69,4.25,PCell,627264,991,5,FALSE,-69.19,-11.81,3.81,PCell,627264,991,0,FALSE,-73.63,-12.44,3.38,PCell,627264,991,4,FALSE,-79.75,-13.13,2.13,PCell,627264,991,3,FALSE,-76.69,-13.94,1.69,PCell,627264,991,1,FALSE,-87.94,-14.88,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.3,26:24.9,1221,,,991,,,-70.38,6.88,-40.88,-11.75,991,486,81,182,,,,,,,-69.19,-73.88,-81.5,-83.25,,,3.81,-2.88,-6.25,-6,,,NR,PCell,627264,991,6,TRUE,-70.38,-11.75,6.88,PCell,627264,991,2,FALSE,-76.19,-11.69,4.25,PCell,627264,991,5,FALSE,-69.19,-11.81,3.81,PCell,627264,991,0,FALSE,-73.63,-12.44,3.38,PCell,627264,991,4,FALSE,-79.75,-13.13,2.13,PCell,627264,991,3,FALSE,-76.69,-13.94,1.69,PCell,627264,991,1,FALSE,-87.94,-14.88,-1.13,NCell,627264,486,0,FALSE,-73.88,-15.13,-2.88,NCell,627264,81,0,FALSE,-81.5,-17.38,-6.25,NCell,627264,182,0,FALSE,-83.25,-17.5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.3,26:25.2,302009,121.4461828,31.02858588,991,,,-80.69,4.13,-55.88,-11.81,991,486,81,182,,,,,,,-64.94,-73.88,-81.5,-83.25,,,3.44,-2.88,-6.25,-6,,,NR,PCell,627264,991,1,TRUE,-80.69,-11.81,4.13,PCell,627264,991,4,FALSE,-76.19,-11.81,3.81,PCell,627264,991,3,FALSE,-76.31,-11.63,3.75,PCell,627264,991,6,FALSE,-64.94,-12.38,3.44,PCell,627264,991,0,FALSE,-71.69,-12.38,1.69,PCell,627264,991,2,FALSE,-76.69,-12.94,1,PCell,627264,991,5,FALSE,-69.13,-13.81,0.25,NCell,627264,486,0,FALSE,-73.88,-15.13,-2.88,NCell,627264,81,0,FALSE,-81.5,-17.38,-6.25,NCell,627264,182,0,FALSE,-83.25,-17.5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.9,26:25.2,325602,121.4461826,31.02858661,991,,,-71.13,4.38,-55.88,-11.63,991,486,81,924,,,,,,,-64.94,-71.5,-81.25,-85,,,3.44,0.13,-6.38,-7.5,,,NR,PCell,627264,991,6,TRUE,-71.13,-11.63,4.38,PCell,627264,991,4,FALSE,-76.19,-11.81,3.81,PCell,627264,991,3,FALSE,-76.31,-11.63,3.75,PCell,627264,991,6,FALSE,-64.94,-12.38,3.44,PCell,627264,991,0,FALSE,-71.69,-12.38,1.69,PCell,627264,991,2,FALSE,-76.69,-12.94,1,PCell,627264,991,5,FALSE,-69.13,-13.81,0.25,NCell,627264,486,0,FALSE,-71.5,-13.25,0.13,NCell,627264,81,0,FALSE,-81.25,-17.63,-6.38,NCell,627264,924,0,FALSE,-85,-19.25,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.9,26:25.5,640031,121.4461822,31.02858808,991,,,-64.69,10.69,-38.69,-10.88,991,486,81,924,,,,,,,-64.69,-71.5,-81.25,-85,,,10.69,0.13,-6.38,-7.5,,,NR,PCell,627264,991,6,TRUE,-64.69,-10.88,10.69,PCell,627264,991,5,FALSE,-64.75,-11.06,11.56,PCell,627264,991,2,FALSE,-74.38,-11.94,5.63,PCell,627264,991,1,FALSE,-80.56,-12.25,5.81,PCell,627264,991,4,FALSE,-77.13,-12.19,4.13,PCell,627264,991,0,FALSE,-74.44,-12.25,2.25,PCell,627264,991,3,FALSE,-79.5,-13.5,0,NCell,627264,486,0,FALSE,-71.5,-13.25,0.13,NCell,627264,81,0,FALSE,-81.25,-17.63,-6.38,NCell,627264,924,0,FALSE,-85,-19.25,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:25.9,26:25.5,641282,121.4461821,31.02858882,991,,,-68.88,11.5,-38.69,-10.88,991,486,81,924,,,,,,,-64.75,-71.5,-81.25,-85,,,11.56,0.13,-6.38,-7.5,,,NR,PCell,627264,991,5,TRUE,-68.88,-10.88,11.5,PCell,627264,991,5,FALSE,-64.75,-11.06,11.56,PCell,627264,991,2,FALSE,-74.38,-11.94,5.63,PCell,627264,991,1,FALSE,-80.56,-12.25,5.81,PCell,627264,991,4,FALSE,-77.13,-12.19,4.13,PCell,627264,991,0,FALSE,-74.44,-12.25,2.25,PCell,627264,991,3,FALSE,-79.5,-13.5,0,NCell,627264,486,0,FALSE,-71.5,-13.25,0.13,NCell,627264,81,0,FALSE,-81.25,-17.63,-6.38,NCell,627264,924,0,FALSE,-85,-19.25,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:26.4,26:25.8,654956,121.4461812,31.02859249,991,,,-76.25,6.25,-51.13,-12.13,991,486,81,924,,,,,,,-67.19,-71.5,-81.25,-85,,,2.81,0.13,-6.38,-7.5,,,NR,PCell,627264,991,2,TRUE,-76.25,-12.13,6.25,PCell,627264,991,1,FALSE,-79.63,-11.44,5.63,PCell,627264,991,5,FALSE,-67.38,-12.31,3.88,PCell,627264,991,6,FALSE,-67.19,-13.13,2.81,PCell,627264,991,3,FALSE,-79.5,-12.75,1.56,PCell,627264,991,4,FALSE,-80.69,-12.94,1.44,PCell,627264,991,0,FALSE,-74.06,-13.5,0.38,NCell,627264,486,0,FALSE,-71.5,-13.25,0.13,NCell,627264,81,0,FALSE,-81.25,-17.63,-6.38,NCell,627264,924,0,FALSE,-85,-19.25,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:26.4,26:25.8,676168,121.446181,31.02859323,991,,,-70,6.75,-51.13,-11.38,991,,,,,,,,,,-67.19,,,,,,2.81,,,,,,NR,PCell,627264,991,5,TRUE,-70,-11.38,6.75,PCell,627264,991,1,FALSE,-79.63,-11.44,5.63,PCell,627264,991,5,FALSE,-67.38,-12.31,3.88,PCell,627264,991,6,FALSE,-67.19,-13.13,2.81,PCell,627264,991,3,FALSE,-79.5,-12.75,1.56,PCell,627264,991,4,FALSE,-80.69,-12.94,1.44,PCell,627264,991,0,FALSE,-74.06,-13.5,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:26.4,26:26.1,974972,121.4461792,31.02860058,991,,,-64.25,10.63,-40.25,-11,991,,,,,,,,,,-64.25,,,,,,10.63,,,,,,NR,PCell,627264,991,6,TRUE,-64.25,-11,10.63,PCell,627264,991,5,FALSE,-65.19,-11.31,12.88,PCell,627264,991,0,FALSE,-72.56,-11.5,5.94,PCell,627264,991,1,FALSE,-79,-11.25,6.25,PCell,627264,991,2,FALSE,-74.25,-12.19,3.75,PCell,627264,991,3,FALSE,-72.88,-11.88,3.75,PCell,627264,991,4,FALSE,-80.19,-14.63,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
