1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,189.0,166.0,167.0,190.0,,-85.26,-88.55,-93.85,-125.31,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,166.0,167.0,190.0,,-85.26,-88.55,-93.85,-125.31,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,166.0,167.0,190.0,,-85.26,-88.55,-93.85,-125.31,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-83.53,-89.25,-93.86,-125.99,,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-83.53,-89.25,-93.86,-125.99,,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-83.53,-89.25,-93.86,-125.99,,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,190.0,,-83.02,-87.11,-92.16,-92.74,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,190.0,,-83.02,-87.11,-92.16,-92.74,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,166.0,167.0,190.0,,-85.0,-88.54,-91.91,-93.24,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,166.0,167.0,190.0,,-85.0,-88.54,-91.91,-93.24,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,166.0,167.0,190.0,,-85.0,-88.54,-91.91,-93.24,-156.0,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-86.13,-86.13,-92.53,-156.0,,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-86.13,-86.13,-92.53,-156.0,,,0.01717146930124,-0.0063471241997014
169.0,189.0,167.0,166.0,,,-82.66,-87.63,-91.41,-156.0,,,0.01717146930124,-0.0063471241997014
